cluster_representative	cluster_member	nreads	fraction_reads	contig_length	norm_coverage	classification_member	classification_representative
27-1-8_NODE_478287_length_365_cov_0.986111_1	59-1-24_NODE_841849_length_265_cov_2.632979_1	8	2.3187220224449973e-07	265	9.645471139453887e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__HIMB59;g__HIMB59*	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__HIMB59;g__HIMB59*
27-1-8_NODE_478287_length_365_cov_0.986111_1	67-1-15_NODE_1107254_length_230_cov_1.143791_1	10	3.269776935163528e-07	230	1.5674495462693103e-06	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__HIMB59;g__HIMB59*	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__HIMB59;g__HIMB59*
27-1-8_NODE_478293_length_365_cov_0.982639_1	27-1-8_NODE_478293_length_365_cov_0.982639_1	8	2.0746850303954324e-07	365	5.644178488742321e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter
27-1-8_NODE_478293_length_365_cov_0.982639_1	30-1-6_NODE_277410_length_485_cov_1.176471_1	4	1.5270268093225292e-07	485	3.337454146909423e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902616645	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter
27-1-8_NODE_491955_length_359_cov_1.936170_1	27-1-8_NODE_491955_length_359_cov_1.936170_1	9	2.3340206591948615e-07	359	6.455823932979988e-07	root;d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_E;s__Synechococcus_E sp003211535	root;d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_E;s__Synechococcus_E sp003211535
27-1-8_NODE_491955_length_359_cov_1.936170_1	29-1-6_NODE_233498_length_523_cov_1.932735_1	7	2.533868959446441e-07	523	5.227840419940583e-07	root;d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae*	root;d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_E;s__Synechococcus_E sp003211535
27-1-8_NODE_491955_length_359_cov_1.936170_1	30-1-6_NODE_55349_length_1240_cov_2.395529_2	35	1.3361484581572132e-06	1240	1.1422033093505536e-06	root;d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae*	root;d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_E;s__Synechococcus_E sp003211535
27-1-8_NODE_491958_length_359_cov_1.936170_1	27-1-8_NODE_491958_length_359_cov_1.936170_1	13	3.371363174392578e-07	359	9.325079014304426e-07		
27-1-8_NODE_491958_length_359_cov_1.936170_1	24-1-8_NODE_563873_length_314_cov_0.835443_1	6	1.7471026922503066e-07	314	5.580988257622209e-07		
27-1-8_NODE_491963_length_359_cov_1.925532_1	27-1-8_NODE_491963_length_359_cov_1.925532_1	17	4.408705689590294e-07	359	1.2194334095628865e-06	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__HIMB59;g__HIMB59*	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__HIMB59;g__HIMB59*
27-1-8_NODE_491963_length_359_cov_1.925532_1	69-1-2_NODE_1578733_length_233_cov_0.916667_1	3	1.1443959084947135e-07	233	4.6309973558208486e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__HIMB59;g__HIMB59*	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__HIMB59;g__HIMB59*
27-1-8_NODE_491970_length_359_cov_1.911348_1	27-1-8_NODE_491970_length_359_cov_1.911348_1	8	2.0746850303954324e-07	359	5.738510162648877e-07	root;d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA2093;s__UBA2093 sp009920715	root;d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA2093;s__UBA2093 sp009920715
27-1-8_NODE_491970_length_359_cov_1.911348_1	18-1-3_NODE_1316035_length_231_cov_1.266234_1	1	2.901485682531855e-08	231	1.3373240452025683e-07		root;d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA2093;s__UBA2093 sp009920715
27-1-8_NODE_491985_length_359_cov_1.858156_1	27-1-8_NODE_491985_length_359_cov_1.858156_1	8	2.0746850303954324e-07	359	5.738510162648877e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__CACKLF01;s__CACKLF01 sp002725175	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__CACKLF01;s__CACKLF01 sp002725175
27-1-8_NODE_491985_length_359_cov_1.858156_1	28-1-6_NODE_999342_length_252_cov_1.268571_1	3	1.0146284393452076e-07	252	4.14177947951384e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__CACKLF01;s__CACKLF01 sp002725175	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__CACKLF01;s__CACKLF01 sp002725175
27-1-8_NODE_491990_length_359_cov_1.851064_1	27-1-8_NODE_491990_length_359_cov_1.851064_1	9	2.3340206591948615e-07	359	6.455823932979988e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter
27-1-8_NODE_491990_length_359_cov_1.851064_1	17-2-10_NODE_490079_length_350_cov_2.597070_1	11	3.723427085616753e-07	350	1.1065143659063782e-06	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter
27-1-8_NODE_498919_length_357_cov_0.750000_1	27-1-8_NODE_498919_length_357_cov_0.750000_1	10	2.59335628799429e-07	357	7.213323348707797e-07		
27-1-8_NODE_498919_length_357_cov_0.750000_1	17-2-10_NODE_1024604_length_244_cov_0.886228_1	4	1.3539734856788193e-07	244	5.77168447194087e-07		
27-1-8_NODE_498921_length_357_cov_0.746429_1	27-1-8_NODE_498921_length_357_cov_0.746429_1	4	1.0373425151977162e-07	357	2.8853293394831194e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__MED-G10	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__MED-G10
27-1-8_NODE_498921_length_357_cov_0.746429_1	59-1-24_NODE_1221527_length_231_cov_2.058442_1	7	2.0288817696393727e-07	231	9.68200701498212e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__MED-G10	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__MED-G10
27-1-8_NODE_498921_length_357_cov_0.746429_1	67-1-15_NODE_1088011_length_232_cov_0.941935_1	5	1.634888467581764e-07	232	7.769685250903908e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__MED-G10	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__MED-G10
27-1-8_NODE_498931_length_357_cov_0.746429_1	27-1-8_NODE_498931_length_357_cov_0.746429_1	3	7.780068863982872e-08	357	2.1639970046123395e-07	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__AG-339-G14;g__AG-339-G14	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__AG-339-G14;g__AG-339-G14
27-1-8_NODE_498931_length_357_cov_0.746429_1	59-1-24_NODE_574386_length_315_cov_0.932773_1	4	1.1593610112224987e-07	315	4.057221987230603e-07	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__AG-339-G14;g__AG-339-G14	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__AG-339-G14;g__AG-339-G14
27-1-8_NODE_498931_length_357_cov_0.746429_1	70-1-10_NODE_417414_length_382_cov_1.950820_1	11	3.9937189692574407e-07	382	1.0354156543447152e-06	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__AG-339-G14;g__AG-339-G14	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__AG-339-G14;g__AG-339-G14
27-1-8_NODE_498945_length_357_cov_0.739286_1	27-1-8_NODE_498945_length_357_cov_0.739286_1	7	1.8153494015960034e-07	357	5.049326344095459e-07	root;d__Bacteria	root;d__Bacteria
27-1-8_NODE_498945_length_357_cov_0.739286_1	33-1-10_NODE_1093830_length_249_cov_0.860465_1	3	9.239090097450843e-08	249	3.749478288161319e-07	root;d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae*	root;d__Bacteria
27-1-8_NODE_498954_length_357_cov_0.739286_1	27-1-8_NODE_498954_length_357_cov_0.739286_1	3	7.780068863982872e-08	357	2.1639970046123395e-07	root;d__Bacteria	root;d__Bacteria
27-1-8_NODE_498976_length_357_cov_0.728571_1	27-1-8_NODE_498976_length_357_cov_0.728571_1	6	1.5560137727965744e-07	357	4.327994009224679e-07	root;d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA8087	root;d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA8087
27-1-8_NODE_498976_length_357_cov_0.728571_1	18-1-3_NODE_932889_length_264_cov_0.791444_1	2	5.80297136506371e-08	264	2.3403170791044944e-07	root;d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA8087	root;d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA8087
27-1-8_NODE_498992_length_357_cov_0.721429_1	27-1-8_NODE_498992_length_357_cov_0.721429_1	8	2.0746850303954324e-07	357	5.770658678966239e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter
27-1-8_NODE_498992_length_357_cov_0.721429_1	58-1-2_NODE_723404_length_285_cov_0.831731_1	1	3.817075074614275e-08	285	1.341353989625078e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter
27-1-8_NODE_498998_length_357_cov_0.717857_2	27-1-8_NODE_498998_length_357_cov_0.717857_2	7	1.8153494015960034e-07	357	5.049326344095459e-07	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421
27-1-8_NODE_498998_length_357_cov_0.717857_2	31-1-16_NODE_747251_length_279_cov_0.603960_1	4	1.2491803034995975e-07	279	4.612097465903504e-07		root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421
27-1-8_NODE_516060_length_350_cov_1.333333_1	27-1-8_NODE_516060_length_350_cov_1.333333_1	4	1.0373425151977162e-07	350	2.943035926272782e-07		
27-1-8_NODE_516060_length_350_cov_1.333333_1	17-2-10_NODE_761437_length_274_cov_0.746193_1	6	2.030960228518229e-07	274	7.709622323833425e-07		
27-1-8_NODE_516078_length_350_cov_1.322344_1	27-1-8_NODE_516078_length_350_cov_1.322344_1	7	1.8153494015960034e-07	350	5.150312870977368e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A
27-1-8_NODE_516078_length_350_cov_1.322344_1	38-1-14_NODE_489933_length_340_cov_0.882129_1	4	1.1297210690437504e-07	340	3.6557172612544063e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A
27-1-8_NODE_516078_length_350_cov_1.322344_1	70-1-10_NODE_1247999_length_238_cov_1.285714_1	8	2.904522886732684e-07	238	1.2086440946055958e-06	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A
27-1-8_NODE_516081_length_350_cov_1.322344_1	27-1-8_NODE_516081_length_350_cov_1.322344_1	5	1.296678143997145e-07	350	3.6787949078409764e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED109;f__TMED131;g__GCA-2732015	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED109;f__TMED131;g__GCA-2732015
27-1-8_NODE_516081_length_350_cov_1.322344_1	18-1-1_NODE_967175_length_270_cov_2.300518_1	6	1.738934262836204e-07	270	6.319927126400068e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED109;f__TMED131;g__GCA-2732015	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED109;f__TMED131;g__GCA-2732015
27-1-8_NODE_516081_length_350_cov_1.322344_1	28-1-6_NODE_1243010_length_232_cov_1.877419_1	5	1.6910473989086792e-07	232	7.498049057740572e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED109;f__TMED131;g__GCA-2732015	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED109;f__TMED131;g__GCA-2732015
27-1-8_NODE_516081_length_350_cov_1.322344_1	34-1-24_NODE_279469_length_452_cov_1.069333_1	6	2.025303466408148e-07	452	4.762373290529021e-07	root;d__Bacteria	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED109;f__TMED131;g__GCA-2732015
27-1-8_NODE_516083_length_350_cov_1.322344_1	27-1-8_NODE_516083_length_350_cov_1.322344_1	5	1.296678143997145e-07	350	3.6787949078409764e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__HIMB59;g__HIMB59*	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__HIMB59;g__HIMB59*
27-1-8_NODE_516083_length_350_cov_1.322344_1	70-1-10_NODE_1024034_length_255_cov_0.831461_1	2	7.26130721683171e-08	255	2.820169554079723e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__HIMB59;g__HIMB59*	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__HIMB59;g__HIMB59*
27-1-8_NODE_527769_length_346_cov_0.988848_1	27-1-8_NODE_527769_length_346_cov_0.988848_1	5	1.296678143997145e-07	346	3.7213243287408725e-07	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA8752	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA8752
27-1-8_NODE_527769_length_346_cov_0.988848_1	17-2-10_NODE_104253_length_874_cov_0.963614_1	12	4.061920457036458e-07	874	4.833950839199905e-07	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA8752	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA8752
27-1-8_NODE_527769_length_346_cov_0.988848_1	19-1-12_NODE_348927_length_442_cov_0.991781_1	8	2.3052918781916046e-07	442	5.320706802475346e-07	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA8752	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA8752
27-1-8_NODE_527769_length_346_cov_0.988848_1	70-1-10_NODE_676975_length_291_cov_0.588785_1	2	7.26130721683171e-08	291	2.47128259893584e-07	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA8752	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA8752
27-1-8_NODE_527770_length_346_cov_0.988848_1	27-1-8_NODE_527770_length_346_cov_0.988848_1	4	1.0373425151977162e-07	346	2.977059462992698e-07		
27-1-8_NODE_527770_length_346_cov_0.988848_1	58-1-10_NODE_1033855_length_237_cov_0.725000_1	2	7.626649863631687e-08	237	3.6369231599100857e-07		
27-1-8_NODE_527776_length_346_cov_0.985130_1	27-1-8_NODE_527776_length_346_cov_0.985130_1	4	1.0373425151977162e-07	346	2.977059462992698e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*
27-1-8_NODE_527776_length_346_cov_0.985130_1	17-2-10_NODE_380919_length_408_cov_1.193353_1	5	1.6924668570985242e-07	408	4.3146170684852094e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*
27-1-8_NODE_527776_length_346_cov_0.985130_1	23-1-16_NODE_8722_length_3640_cov_1.941622_4	109	3.1607501869482244e-06	3640	9.944840468555515e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*
27-1-8_NODE_527776_length_346_cov_0.985130_1	24-1-8_NODE_611526_length_299_cov_2.234234_2	9	2.62065403837546e-07	299	8.791456419197525e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__LFER01;s__LFER01 sp011525185	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*
27-1-8_NODE_527776_length_346_cov_0.985130_1	29-1-6_NODE_295809_length_454_cov_1.816976_1	12	4.3437753590510416e-07	454	1.0324080074118028e-06	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*
27-1-8_NODE_527776_length_346_cov_0.985130_1	30-1-6_NODE_58658_length_1200_cov_1.776492_2	26	9.92567426059644e-07	1200	8.767770165109963e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*
27-1-8_NODE_527776_length_346_cov_0.985130_1	33-1-10_NODE_1023966_length_255_cov_0.780899_1	2	6.159393398300562e-08	255	2.4408368464108977e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__LFER01;s__LFER01 sp011525185	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*
27-1-8_NODE_527776_length_346_cov_0.985130_1	54-1-10_NODE_585701_length_294_cov_0.829493_2	3	1.01478913087776e-07	294	3.738569526323242e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*
27-1-8_NODE_527776_length_346_cov_0.985130_1	58-1-10_NODE_238396_length_464_cov_1.434109_1	7	2.6693274522710904e-07	464	6.501783967985811e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__LFER01;s__LFER01 sp011525185	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*
27-1-8_NODE_527776_length_346_cov_0.985130_1	59-1-24_NODE_634558_length_297_cov_1.104545_1	4	1.1593610112224987e-07	297	4.303114228880942e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*
27-1-8_NODE_527776_length_346_cov_0.985130_1	67-1-15_NODE_128474_length_645_cov_1.445423_2	12	3.9237323221962334e-07	645	6.707225965431468e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__LFER01;s__LFER01 sp011525185	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae*
27-1-8_NODE_527781_length_346_cov_0.981413_1	27-1-8_NODE_527781_length_346_cov_0.981413_1	7	1.8153494015960034e-07	346	5.209854060237222e-07	root;d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8592;g__UBA8592;s__UBA8592 sp002715405	root;d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8592;g__UBA8592;s__UBA8592 sp002715405
27-1-8_NODE_527781_length_346_cov_0.981413_1	27-1-8_NODE_954662_length_267_cov_0.778947_1	2	5.186712575988581e-08	267	1.9289561314521978e-07	root;d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8592;g__UBA8592;s__UBA8592 sp002715405	root;d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8592;g__UBA8592;s__UBA8592 sp002715405
27-1-8_NODE_527790_length_346_cov_0.977695_2	27-1-8_NODE_527790_length_346_cov_0.977695_2	3	7.780068863982872e-08	346	2.2327945972445237e-07		
27-1-8_NODE_527790_length_346_cov_0.977695_2	27-1-4_NODE_751282_length_290_cov_1.300469_1	4	1.2741819831304677e-07	290	4.1307619621083535e-07		
27-1-8_NODE_527795_length_346_cov_0.977695_1	27-1-8_NODE_527795_length_346_cov_0.977695_1	6	1.5560137727965744e-07	346	4.4655891944890474e-07		
27-1-8_NODE_527795_length_346_cov_0.977695_1	33-1-10_NODE_1182967_length_242_cov_1.036364_1	4	1.2318786796601124e-07	242	5.143912362270899e-07		
27-1-8_NODE_527799_length_346_cov_0.977695_1	27-1-8_NODE_527799_length_346_cov_0.977695_1	6	1.5560137727965744e-07	346	4.4655891944890474e-07	root;d__Bacteria	root;d__Bacteria
27-1-8_NODE_527799_length_346_cov_0.977695_1	17-2-2_NODE_817083_length_274_cov_0.751269_1	2	8.1144152018051e-08	274	2.6223821268778194e-07	root;d__Bacteria	root;d__Bacteria
27-1-8_NODE_527805_length_346_cov_0.973978_1	27-1-8_NODE_527805_length_346_cov_0.973978_1	3	7.780068863982872e-08	346	2.2327945972445237e-07		
27-1-8_NODE_527805_length_346_cov_0.973978_1	24-1-8_NODE_819247_length_266_cov_0.835979_1	3	8.735513461251533e-08	266	3.294041941528897e-07		
27-1-8_NODE_527805_length_346_cov_0.973978_1	54-1-10_NODE_175099_length_566_cov_1.145194_1	8	2.7061043490073605e-07	566	5.178513266143856e-07		
27-1-8_NODE_527807_length_346_cov_0.970260_1	27-1-8_NODE_527807_length_346_cov_0.970260_1	4	1.0373425151977162e-07	346	2.977059462992698e-07	root;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04	root;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04
27-1-8_NODE_527807_length_346_cov_0.970260_1	59-1-24_NODE_742805_length_277_cov_0.600000_1	2	5.796805056112493e-08	277	2.3069041985155957e-07	root;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04;s__MB11C04 sp002686835	root;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04
27-1-8_NODE_527807_length_346_cov_0.970260_2	27-1-8_NODE_527807_length_346_cov_0.970260_2	4	1.0373425151977162e-07	346	2.977059462992698e-07	root;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04	root;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04
27-1-8_NODE_527807_length_346_cov_0.970260_2	59-1-24_NODE_742805_length_277_cov_0.600000_2	2	5.796805056112493e-08	277	2.3069041985155957e-07	root;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04;s__MB11C04 sp002686835	root;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04
27-1-8_NODE_527817_length_346_cov_0.970260_1	27-1-8_NODE_527817_length_346_cov_0.970260_1	4	1.0373425151977162e-07	346	2.977059462992698e-07		
27-1-8_NODE_527817_length_346_cov_0.970260_1	17-2-6_NODE_925245_length_282_cov_0.648780_1	2	5.802138714747366e-08	282	1.869978603357005e-07		
27-1-8_NODE_527817_length_346_cov_0.970260_1	18-1-6_NODE_927933_length_267_cov_0.773684_1	2	6.299185616086809e-08	267	2.1324743490155862e-07		
27-1-8_NODE_527818_length_346_cov_0.966543_1	27-1-8_NODE_527818_length_346_cov_0.966543_1	6	1.5560137727965744e-07	346	4.4655891944890474e-07		
27-1-8_NODE_527818_length_346_cov_0.966543_1	18-1-3_NODE_334655_length_454_cov_1.854111_1	10	2.901485682531855e-07	454	6.804446133079147e-07		
