## Date
## emapper-2.1.12
## /path/to/emapper.py -m diamond --sensmode fast --itype proteins -i  path/to/selected_proteins.fasta -o path/to/output --data_dir ./egg-db/
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
33-1-2_NODE_318051_length_466_cov_0.501285_1	1144275.COCOR_01336	3.04e-18	79.7	COG0776@1|root,COG0776@2|Bacteria,1NM9X@1224|Proteobacteria,42TZ5@68525|delta/epsilon subdivisions,2WQQI@28221|Deltaproteobacteria	28221|Deltaproteobacteria	L	Belongs to the bacterial histone-like protein family	hup	-	-	ko:K03530	-	-	-	-	ko00000,ko03032,ko03036,ko03400	-	-	-	Bac_DNA_binding
34-1-16_NODE_1707_length_8626_cov_2.753304_2	530564.Psta_2956	0.0	1658.0	COG1413@1|root,COG2133@1|root,COG1413@2|Bacteria,COG2133@2|Bacteria,2IXKV@203682|Planctomycetes	203682|Planctomycetes	C	Membrane-bound dehydrogenase domain	-	-	-	-	-	-	-	-	-	-	-	-	Cytochrom_C,DUF1080,GSDH,NPCBM,ThuA
34-1-16_NODE_3722_length_5317_cov_2.929962_5	639283.Snov_3087	1.23e-19	98.6	COG2334@1|root,COG2334@2|Bacteria,1MUKJ@1224|Proteobacteria,2TS6D@28211|Alphaproteobacteria,3EZ40@335928|Xanthobacteraceae	28211|Alphaproteobacteria	F	homoserine kinase activity	thrB	-	2.7.1.39	ko:K02204	ko00260,ko01100,ko01110,ko01120,ko01230,map00260,map01100,map01110,map01120,map01230	M00018	R01771	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	APH
34-1-16_NODE_6211_length_3853_cov_2.618909_2	416348.Hlac_3237	6.88e-49	195.0	COG4717@1|root,arCOG00369@2157|Archaea,2XW11@28890|Euryarchaeota,23UF4@183963|Halobacteria	183963|Halobacteria	S	serine-type aminopeptidase activity	-	-	-	-	-	-	-	-	-	-	-	-	AAA_23
34-1-16_NODE_6216_length_3851_cov_1.720456_1	159450.NH14_12915	2.34e-57	206.0	COG2706@1|root,COG2706@2|Bacteria,1R5TI@1224|Proteobacteria,2VN3Z@28216|Betaproteobacteria,1K0F1@119060|Burkholderiaceae	28216|Betaproteobacteria	G	Lactonase, 7-bladed beta-propeller	-	-	3.1.1.31	ko:K07404	ko00030,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map01100,map01110,map01120,map01130,map01200	M00004,M00006,M00008	R02035	RC00537	ko00000,ko00001,ko00002,ko01000	-	-	-	Lactonase
34-1-16_NODE_9083_length_3013_cov_2.268733_3	768066.HELO_3177	4e-62	220.0	COG1670@1|root,COG1670@2|Bacteria,1MXEE@1224|Proteobacteria,1S2G5@1236|Gammaproteobacteria,1XJMZ@135619|Oceanospirillales	135619|Oceanospirillales	J	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_3
34-1-16_NODE_9088_length_3011_cov_2.824131_3	1238182.C882_4376	3.25e-137	395.0	COG0410@1|root,COG0410@2|Bacteria,1MVVC@1224|Proteobacteria,2TT8N@28211|Alphaproteobacteria,2JQ3K@204441|Rhodospirillales	204441|Rhodospirillales	E	COG0410 ABC-type branched-chain amino acid transport systems, ATPase component	-	-	-	-	-	-	-	-	-	-	-	-	ABC_tran
34-1-16_NODE_9104_length_3008_cov_2.368475_2	1155718.KB891884_gene6056	9e-135	413.0	COG1741@1|root,COG1741@2|Bacteria,2GIY9@201174|Actinobacteria	201174|Actinobacteria	S	Belongs to the pirin family	-	-	-	ko:K06911	-	-	-	-	ko00000	-	-	-	Pirin,Pirin_C
34-1-16_NODE_11823_length_2556_cov_2.448568_1	886293.Sinac_3079	5.67e-59	204.0	COG4102@1|root,COG4102@2|Bacteria,2IWS8@203682|Planctomycetes	203682|Planctomycetes	S	Protein of unknown function (DUF1501)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1501
34-1-16_NODE_11824_length_2556_cov_2.305365_1	1321784.HMPREF1987_00622	6.13e-30	135.0	COG0550@1|root,COG0550@2|Bacteria,1TPUS@1239|Firmicutes,248MG@186801|Clostridia,25R1U@186804|Peptostreptococcaceae	186801|Clostridia	L	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone	topA	-	5.99.1.2	ko:K03168	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	Topoisom_bac,Toprim,zf-C4_Topoisom
34-1-16_NODE_11829_length_2555_cov_2.768362_2	269797.Mbar_A0273	3.68e-19	92.8	COG2108@1|root,arCOG00932@2157|Archaea,2XU78@28890|Euryarchaeota,2N929@224756|Methanomicrobia	224756|Methanomicrobia	S	PFAM Radical SAM domain protein	-	-	-	ko:K07129	-	-	-	-	ko00000	-	-	-	Fer4_14,Radical_SAM
34-1-16_NODE_11837_length_2555_cov_1.740920_2	1049564.TevJSym_ai00660	3.32e-208	615.0	COG1331@1|root,COG1331@2|Bacteria,1MUUT@1224|Proteobacteria,1RSQQ@1236|Gammaproteobacteria,1J9D0@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	O	Protein of unknown function, DUF255	-	-	-	ko:K06888	-	-	-	-	ko00000	-	-	-	DsbC,GlcNAc_2-epim,Thioredox_DsbH
34-1-16_NODE_11841_length_2554_cov_2.285426_1	208960.XP_007272190.1	1.19e-12	70.9	2CYUR@1|root,2S6JD@2759|Eukaryota,3A2FB@33154|Opisthokonta,3P2UP@4751|Fungi,3V6XZ@5204|Basidiomycota,22CFE@155619|Agaricomycetes,3H7EM@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Cupin_2
34-1-16_NODE_16098_length_2108_cov_1.795175_1	1122225.AULQ01000001_gene1459	2.46e-69	234.0	COG1132@1|root,COG1132@2|Bacteria,4NE2D@976|Bacteroidetes,1HWWR@117743|Flavobacteriia	976|Bacteroidetes	V	abc transporter (atp-binding protein)	msbA	-	-	ko:K11085	ko02010,map02010	-	-	-	ko00000,ko00001,ko01000,ko02000	3.A.1.106	-	-	ABC_membrane,ABC_tran
34-1-16_NODE_16103_length_2107_cov_4.798522_3	656024.FsymDg_0202	2.38e-66	219.0	COG2801@1|root,COG2963@1|root,COG2801@2|Bacteria,COG2963@2|Bacteria,2IDYA@201174|Actinobacteria	201174|Actinobacteria	L	PFAM Transposase IS3 IS911	-	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	HTH_21,HTH_Tnp_1,rve,rve_3
34-1-16_NODE_16103_length_2107_cov_4.798522_4	886293.Sinac_7484	1.04e-34	127.0	COG1595@1|root,COG1595@2|Bacteria	2|Bacteria	K	DNA-templated transcription, initiation	-	-	-	ko:K03088	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_r2,Sigma70_r4_2
34-1-16_NODE_16109_length_2107_cov_2.103448_1	1173264.KI913949_gene1157	8.71e-22	105.0	COG1649@1|root,COG1649@2|Bacteria,1G2UW@1117|Cyanobacteria,1H6Z8@1150|Oscillatoriales	1117|Cyanobacteria	NU	PFAM Uncharacterised BCR, COG1649	-	-	-	-	-	-	-	-	-	-	-	-	GHL10
34-1-16_NODE_16110_length_2107_cov_2.074877_2	1121930.AQXG01000003_gene2716	2.11e-145	435.0	COG0029@1|root,COG0029@2|Bacteria,4NGUE@976|Bacteroidetes,1IQPX@117747|Sphingobacteriia	976|Bacteroidetes	H	Catalyzes the oxidation of L-aspartate to iminoaspartate	nadB	-	1.4.3.16	ko:K00278	ko00250,ko00760,ko01100,map00250,map00760,map01100	M00115	R00357,R00481	RC00006,RC02566	ko00000,ko00001,ko00002,ko01000	-	-	-	FAD_binding_2,Succ_DH_flav_C
34-1-16_NODE_16122_length_2106_cov_1.988172_2	472759.Nhal_3896	6.16e-208	592.0	COG0168@1|root,COG0168@2|Bacteria,1MUIJ@1224|Proteobacteria,1RMN6@1236|Gammaproteobacteria,1WWUJ@135613|Chromatiales	135613|Chromatiales	P	Low-affinity potassium transport system. Interacts with Trk system potassium uptake protein TrkA	-	-	-	ko:K03498	-	-	-	-	ko00000,ko02000	2.A.38.1,2.A.38.4	-	-	TrkH
34-1-16_NODE_16123_length_2106_cov_1.293741_2	314285.KT71_07499	5.72e-31	125.0	COG2951@1|root,COG2951@2|Bacteria,1MUZ3@1224|Proteobacteria,1RMQ6@1236|Gammaproteobacteria,1J4FD@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	M	COG2951 Membrane-bound lytic murein transglycosylase B	mltB	-	-	ko:K08305	-	-	-	-	ko00000,ko01000,ko01011	-	GH103	-	SLT_2
34-1-16_NODE_16126_length_2105_cov_2.542406_1	44056.XP_009036982.1	1.62e-34	133.0	COG1257@1|root,2QS8A@2759|Eukaryota	2759|Eukaryota	I	Hydroxymethylglutaryl-coenzyme A reductase	-	-	1.1.1.34,2.3.3.10	ko:K00021,ko:K01641	ko00072,ko00280,ko00650,ko00900,ko01100,ko01110,ko01130,ko04152,ko04976,map00072,map00280,map00650,map00900,map01100,map01110,map01130,map04152,map04976	M00088,M00095	R01978,R02082	RC00004,RC00503,RC00644	ko00000,ko00001,ko00002,ko01000	-	-	-	HMG-CoA_red
34-1-16_NODE_20622_length_1819_cov_1.881745_2	710111.FraQA3DRAFT_5833	4.19e-44	157.0	COG0196@1|root,COG0196@2|Bacteria,2GKQF@201174|Actinobacteria,4ES77@85013|Frankiales	201174|Actinobacteria	H	Belongs to the ribF family	ribF	GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006139,GO:0006725,GO:0006732,GO:0006753,GO:0006766,GO:0006767,GO:0006771,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0008531,GO:0009058,GO:0009108,GO:0009110,GO:0009117,GO:0009123,GO:0009124,GO:0009156,GO:0009161,GO:0009165,GO:0009231,GO:0009259,GO:0009260,GO:0009398,GO:0009987,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019866,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0034641,GO:0034654,GO:0042364,GO:0042726,GO:0042727,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046390,GO:0046444,GO:0046483,GO:0046872,GO:0046914,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.7.1.26,2.7.7.2	ko:K11753	ko00740,ko01100,ko01110,map00740,map01100,map01110	M00125	R00161,R00549	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	FAD_syn,Flavokinase
34-1-16_NODE_20623_length_1819_cov_1.849024_1	794903.OPIT5_15740	3.37e-124	373.0	COG4409@1|root,COG4409@2|Bacteria,46U32@74201|Verrucomicrobia	74201|Verrucomicrobia	G	BNR repeat-like domain	-	-	-	-	-	-	-	-	-	-	-	-	BNR_2
34-1-16_NODE_20638_length_1818_cov_1.622056_2	1209072.ALBT01000023_gene3989	4.6e-65	228.0	COG0557@1|root,COG0557@2|Bacteria,1MUS6@1224|Proteobacteria,1RMQE@1236|Gammaproteobacteria,1FGH5@10|Cellvibrio	1236|Gammaproteobacteria	J	3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs	rnr	GO:0000175,GO:0003674,GO:0003724,GO:0003824,GO:0004386,GO:0004518,GO:0004527,GO:0004532,GO:0004540,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006401,GO:0006402,GO:0006725,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0008408,GO:0008997,GO:0009056,GO:0009057,GO:0009266,GO:0009409,GO:0009628,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010605,GO:0010629,GO:0016070,GO:0016071,GO:0016462,GO:0016787,GO:0016788,GO:0016796,GO:0016817,GO:0016818,GO:0016896,GO:0017111,GO:0019222,GO:0019439,GO:0034458,GO:0034470,GO:0034641,GO:0034655,GO:0034660,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046700,GO:0048519,GO:0050789,GO:0050896,GO:0060255,GO:0065007,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090503,GO:0140098,GO:1901360,GO:1901361,GO:1901575	-	ko:K12573	ko03018,map03018	-	-	-	ko00000,ko00001,ko01000,ko03016,ko03019	-	-	-	HTH_12,OB_RNB,RNB,S1
34-1-16_NODE_20639_length_1818_cov_1.481333_1	1304284.L21TH_2085	6.27e-123	373.0	COG1972@1|root,COG1972@2|Bacteria,1TRSK@1239|Firmicutes,249IZ@186801|Clostridia,36FNG@31979|Clostridiaceae	186801|Clostridia	F	Belongs to the concentrative nucleoside transporter (CNT) (TC 2.A.41) family	-	-	-	ko:K03317	-	-	-	-	ko00000	2.A.41	-	-	Gate,Nucleos_tra2_C,Nucleos_tra2_N
34-1-16_NODE_20650_length_1817_cov_2.421264_1	207559.Dde_3768	8.23e-18	81.3	COG0682@1|root,COG0682@2|Bacteria,1MVE3@1224|Proteobacteria,42M2I@68525|delta/epsilon subdivisions,2WMSH@28221|Deltaproteobacteria,2M9NY@213115|Desulfovibrionales	28221|Deltaproteobacteria	M	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins	lgt	-	-	ko:K13292	-	-	-	-	ko00000,ko01000	-	-	-	LGT
34-1-16_NODE_20655_length_1817_cov_1.728736_3	278963.ATWD01000001_gene2018	3.15e-58	207.0	COG1200@1|root,COG1200@2|Bacteria,3Y31Z@57723|Acidobacteria,2JHRS@204432|Acidobacteriia	204432|Acidobacteriia	L	ATP-dependent DNA helicase RecG	recG	-	3.6.4.12	ko:K03655	ko03440,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	DEAD,Helicase_C,RecG_wedge
34-1-16_NODE_20658_length_1817_cov_1.620115_1	247634.GPB2148_677	5.33e-58	194.0	COG0515@1|root,COG0515@2|Bacteria,1MXX9@1224|Proteobacteria,1RQFJ@1236|Gammaproteobacteria,1JAH5@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	H	Lipopolysaccharide kinase (Kdo/WaaP) family	rfaP	GO:0003674,GO:0003824,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0044237	-	ko:K02848	ko00540,ko01100,map00540,map01100	M00080	-	-	ko00000,ko00001,ko00002,ko01000,ko01005	-	-	iAF1260.b3630,iBWG_1329.BWG_3321,iEC042_1314.EC042_3937,iECDH10B_1368.ECDH10B_3812,iECDH1ME8569_1439.ECDH1ME8569_3515,iEcDH1_1363.EcDH1_0075,iJO1366.b3630,iY75_1357.Y75_RS18985	Kdo
34-1-16_NODE_20662_length_1816_cov_2.408856_1	1265313.HRUBRA_01849	1.48e-163	490.0	COG4993@1|root,COG4993@2|Bacteria,1MUQX@1224|Proteobacteria,1RN5D@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	Dehydrogenase	-	-	-	-	-	-	-	-	-	-	-	-	Cytochrome_CBB3,PQQ_2
34-1-16_NODE_20665_length_1816_cov_2.087982_1	756272.Plabr_3151	7.54e-139	454.0	COG1028@1|root,COG3321@1|root,COG1028@2|Bacteria,COG3321@2|Bacteria,2IY7E@203682|Planctomycetes	203682|Planctomycetes	IQ	Beta-ketoacyl synthase	-	-	-	-	-	-	-	-	-	-	-	-	ADH_N,ADH_zinc_N,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,Thioesterase,ketoacyl-synt
34-1-16_NODE_26298_length_1586_cov_1.420146_2	717785.HYPMC_0241	8.87e-156	460.0	COG1053@1|root,COG1053@2|Bacteria,1MU5M@1224|Proteobacteria,2U1QF@28211|Alphaproteobacteria	28211|Alphaproteobacteria	C	COG1053 Succinate dehydrogenase fumarate reductase, flavoprotein subunit	-	-	-	-	-	-	-	-	-	-	-	-	FAD_binding_2,Succ_DH_flav_C
34-1-16_NODE_26300_length_1586_cov_1.219351_2	1122929.KB908229_gene3418	3.51e-88	264.0	COG0684@1|root,COG0684@2|Bacteria,1MW9P@1224|Proteobacteria,2TTGT@28211|Alphaproteobacteria	28211|Alphaproteobacteria	H	Methyltransferase	-	-	-	ko:K02553	-	-	-	-	ko00000,ko03019	-	-	-	RraA-like
34-1-16_NODE_26317_length_1585_cov_1.950928_1	1303518.CCALI_00994	8.76e-62	221.0	28HQ2@1|root,2Z7XV@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
34-1-16_NODE_26326_length_1585_cov_1.581565_1	80884.CCF42815	2.48e-05	55.8	29IYM@1|root,2RS6K@2759|Eukaryota,39ZUV@33154|Opisthokonta,3P2PE@4751|Fungi,3QUYT@4890|Ascomycota,2194G@147550|Sordariomycetes,1ETQ1@1028384|Glomerellales	4751|Fungi	S	Ankyrin repeat protein	-	-	-	ko:K15502	-	-	-	-	ko00000,ko01009,ko03400	-	-	-	Ank,Ank_2,Ank_4,Ank_5
34-1-16_NODE_26333_length_1585_cov_1.378647_1	595460.RRSWK_03133	6.27e-136	411.0	COG0531@1|root,COG0531@2|Bacteria,2J1TF@203682|Planctomycetes	203682|Planctomycetes	E	Solute carrier family 12	-	-	-	-	-	-	-	-	-	-	-	-	AA_permease,SLC12
38-1-2_NODE_148649_length_539_cov_1.164502_1	1123242.JH636434_gene5138	1.53e-27	114.0	COG0247@1|root,COG0247@2|Bacteria	2|Bacteria	C	lactate metabolic process	-	-	-	-	-	-	-	-	-	-	-	-	CCG,ETF,Fer4_10,Fer4_8,Fer4_9,Nitrate_red_gam
38-1-2_NODE_148654_length_539_cov_1.158009_1	1415775.U729_2267	5.04e-11	66.6	COG3842@1|root,COG3842@2|Bacteria,1TP2M@1239|Firmicutes,247JR@186801|Clostridia,36DYU@31979|Clostridiaceae	186801|Clostridia	P	Belongs to the ABC transporter superfamily	msmX	-	-	ko:K10112	ko02010,map02010	M00194,M00196,M00197,M00200,M00201,M00206,M00207,M00491,M00602,M00605,M00606	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1	-	-	ABC_tran,TOBE,TOBE_2
38-1-2_NODE_148661_length_539_cov_1.149351_2	1502850.FG91_02954	1.93e-32	125.0	COG0358@1|root,COG0358@2|Bacteria,1MUHC@1224|Proteobacteria,2TRU2@28211|Alphaproteobacteria,2K0VR@204457|Sphingomonadales	204457|Sphingomonadales	L	RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication	dnaG	-	-	ko:K02316	ko03030,map03030	-	-	-	ko00000,ko00001,ko01000,ko03032	-	-	-	Toprim_4,Toprim_N,zf-CHC2
38-1-2_NODE_148663_length_539_cov_1.142857_1	1379270.AUXF01000003_gene3619	3.65e-38	141.0	COG0666@1|root,COG0666@2|Bacteria,1ZUQT@142182|Gemmatimonadetes	142182|Gemmatimonadetes	S	Ankyrin repeats (many copies)	-	-	-	-	-	-	-	-	-	-	-	-	-
38-1-2_NODE_148664_length_539_cov_1.142857_1	1144932.ATTF01000019_gene815	3.29e-56	188.0	COG0772@1|root,COG0772@2|Bacteria,1MUK3@1224|Proteobacteria,2TSM0@28211|Alphaproteobacteria,4BPSI@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	M	Peptidoglycan polymerase that is essential for cell wall elongation	mrdB	-	-	ko:K05837	-	-	-	-	ko00000,ko03036	-	-	-	FTSW_RODA_SPOVE
38-1-2_NODE_148665_length_539_cov_1.142857_1	1144932.ATTF01000010_gene537	1.14e-50	180.0	COG3164@1|root,COG3164@2|Bacteria,1MVDY@1224|Proteobacteria,2TSGG@28211|Alphaproteobacteria,4BQIS@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	S	Protein of unknown function	MA20_30770	-	-	-	-	-	-	-	-	-	-	-	AsmA_2,DUF3971
38-1-2_NODE_148667_length_539_cov_1.136364_1	1108849.XP_002563738.1	5.42e-26	108.0	arCOG06169@1|root,2SHMI@2759|Eukaryota,39U1V@33154|Opisthokonta,3NWZW@4751|Fungi,3QSAU@4890|Ascomycota,20D3V@147545|Eurotiomycetes,3S6YH@5042|Eurotiales	4751|Fungi	S	Arylsulfotransferase (ASST)	-	-	-	-	-	-	-	-	-	-	-	-	Arylsulfotran_2,Arylsulfotrans
38-1-2_NODE_148678_length_539_cov_1.114719_1	398525.KB900701_gene2607	2.04e-95	294.0	COG0028@1|root,COG0028@2|Bacteria,1MX6Q@1224|Proteobacteria,2TS3K@28211|Alphaproteobacteria,3JUFH@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	EH	Belongs to the TPP enzyme family	MA20_06195	-	4.1.1.7	ko:K01576	ko00627,ko01120,map00627,map01120	-	R01764,R02672	RC00595	ko00000,ko00001,ko01000	-	-	-	TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N
38-1-2_NODE_148682_length_539_cov_1.099567_1	1443113.LC20_04290	1.37e-25	109.0	COG0554@1|root,COG0554@2|Bacteria,1MXIZ@1224|Proteobacteria,1RNTK@1236|Gammaproteobacteria,41E9M@629|Yersinia	1236|Gammaproteobacteria	G	FGGY family of carbohydrate kinases, N-terminal domain	glpK_1	-	2.7.1.30	ko:K00864	ko00561,ko01100,ko03320,ko04626,map00561,map01100,map03320,map04626	-	R00847	RC00002,RC00017	ko00000,ko00001,ko01000,ko04147	-	-	-	FGGY_C,FGGY_N
38-1-2_NODE_157523_length_524_cov_1.187919_2	1131266.ARWQ01000001_gene1224	1.03e-79	242.0	COG0106@1|root,arCOG00618@2157|Archaea,41SIG@651137|Thaumarchaeota	651137|Thaumarchaeota	E	1-(5-phosphoribosyl)-5- (5-phosphoribosylamino)methylideneamino imidazole-4-carboxamide isomerase	hisA	-	5.3.1.16	ko:K01814	ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230	M00026	R04640	RC00945	ko00000,ko00001,ko00002,ko01000	-	-	-	His_biosynth
38-1-2_NODE_157545_length_524_cov_1.154362_1	477228.YO5_07783	8.06e-55	179.0	COG0655@1|root,COG0655@2|Bacteria,1MW7N@1224|Proteobacteria,1S23B@1236|Gammaproteobacteria,1Z0ZE@136846|Pseudomonas stutzeri group	1236|Gammaproteobacteria	S	Belongs to the WrbA family	wrbA	GO:0000166,GO:0003674,GO:0003824,GO:0003955,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009987,GO:0010181,GO:0016043,GO:0016491,GO:0016651,GO:0016655,GO:0022607,GO:0032553,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043933,GO:0044085,GO:0044424,GO:0044444,GO:0044464,GO:0048037,GO:0050662,GO:0050896,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0055114,GO:0065003,GO:0071840,GO:0097159,GO:0097367,GO:1901265,GO:1901363	1.6.5.2	ko:K03809	ko00130,ko01110,map00130,map01110	-	R02964,R03643,R03816	RC00819	ko00000,ko00001,ko01000	-	-	-	FMN_red
38-1-2_NODE_157547_length_524_cov_1.154362_1	1131266.ARWQ01000003_gene1549	2.17e-65	202.0	COG1898@1|root,arCOG04188@2157|Archaea,41T2Q@651137|Thaumarchaeota	651137|Thaumarchaeota	M	WxcM-like, C-terminal	-	-	5.1.3.13	ko:K01790	ko00521,ko00523,ko01130,map00521,map00523,map01130	M00793	R06514	RC01531	ko00000,ko00001,ko00002,ko01000	-	-	-	FdtA
38-1-2_NODE_157549_length_524_cov_1.152125_2	1192034.CAP_4980	3.51e-15	75.5	COG1664@1|root,COG1664@2|Bacteria,1N7TF@1224|Proteobacteria,42VWZ@68525|delta/epsilon subdivisions,2WRPF@28221|Deltaproteobacteria,2YVIX@29|Myxococcales	28221|Deltaproteobacteria	M	Polymer-forming cytoskeletal	-	-	-	-	-	-	-	-	-	-	-	-	Bactofilin
38-1-2_NODE_157554_length_524_cov_1.134228_2	1196031.ALEG01000040_gene2950	1.58e-36	137.0	COG0147@1|root,COG0147@2|Bacteria,1TQAP@1239|Firmicutes,4HB31@91061|Bacilli,1ZARE@1386|Bacillus	91061|Bacilli	EH	Part of a heterotetrameric complex that catalyzes the two-step biosynthesis of anthranilate, an intermediate in the biosynthesis of L-tryptophan. In the first step, the glutamine- binding beta subunit (TrpG) of anthranilate synthase (AS) provides the glutamine amidotransferase activity which generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by the large alpha subunit of AS (TrpE) to produce anthranilate. In the absence of TrpG, TrpE can synthesize anthranilate directly from chorismate and high concentrations of ammonia	pabB	GO:0000162,GO:0000287,GO:0003674,GO:0003824,GO:0004049,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005950,GO:0006082,GO:0006520,GO:0006568,GO:0006575,GO:0006576,GO:0006586,GO:0006725,GO:0006732,GO:0006760,GO:0006807,GO:0008150,GO:0008152,GO:0008483,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009108,GO:0009308,GO:0009309,GO:0009396,GO:0009987,GO:0016053,GO:0016740,GO:0016769,GO:0016829,GO:0016830,GO:0016833,GO:0018130,GO:0019438,GO:0019752,GO:0032991,GO:0034641,GO:0042398,GO:0042401,GO:0042430,GO:0042435,GO:0042558,GO:0042559,GO:0043167,GO:0043169,GO:0043436,GO:0043603,GO:0043604,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046219,GO:0046394,GO:0046483,GO:0046653,GO:0046654,GO:0046820,GO:0046872,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1902494	2.6.1.85	ko:K01665	ko00790,map00790	-	R01716	RC00010,RC01418	ko00000,ko00001,ko01000	-	-	-	Anth_synt_I_N,Chorismate_bind
38-1-2_NODE_157555_length_524_cov_1.134228_1	1121106.JQKB01000008_gene1367	1.37e-44	155.0	COG0346@1|root,COG0346@2|Bacteria,1MX75@1224|Proteobacteria,2TRQS@28211|Alphaproteobacteria,2JVNN@204441|Rhodospirillales	204441|Rhodospirillales	E	lactoylglutathione lyase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
