genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric,cluster_member_list
34-1-2-10.fna,23.797615051708,86.21,13.87,35.14,3623357,11144,85_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,,3,99.21,98.82,substantial,high,"{'59-1-6-24.fna', '34-1-2-10.fna', '32-1-2-12.fna'}"
32-1-2-35.fna,102.114731705915,99.6,0,0,3019546,85193,87_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,,5,99.96,99.94,near,none,"{'59-1-6-41.fna', '32-1-2-35.fna', '34-1-2-39.fna', '59-1-9-38.fna', '59-1-3-35.fna'}"
59-1-24-18.fna,81.2118507842456,79.46,0.08,0,1784708,16426,28_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__MED-G52 sp001627375,,9,99.53,99.27,substantial,low,"{'28-1-6-17.fna', '54-1-10-13.fna', '59-1-24-18.fna', '58-1-10-10.fna', '23-1-16-14.fna', '67-1-2-17.fna', '70-1-10-16.fna', '34-1-24-15.fna', '33-1-10-20.fna'}"
23-1-16-25.fna,81.3709842747504,86.91,1.61,22.22,2347821,16858,29_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__MED-G52;s__MED-G52 sp002457055,,5,99.15,98.73,substantial,low,"{'54-1-10-7.fna', '58-1-10-22.fna', '59-1-24-23.fna', '23-1-16-25.fna', '30-1-6-21.fna'}"
59-1-15-12.fna,96.0875248635165,98.07,0.91,0,3013406,108496,86_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA5972;s__,,6,99.99,99.98,near,low,"{'59-1-15-12.fna', '59-1-6-3.fna', '34-1-2-26.fna', '59-1-9-26.fna', '32-1-2-25.fna', '59-1-3-22.fna'}"
32-1-2-7.fna,70.8767318970591,84.33,3.13,0,2810344,19990,84_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__WLWX01;s__,,3,99.65,99.62,substantial,low,"{'32-1-2-7.fna', '59-1-9-2.fna', '59-1-3-31.fna'}"
59-1-9-46.fna,92.8820291342061,92.5,0.35,0,3630767,14900,79_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__,,5,99.73,99.26,near,low,"{'59-1-3-26.fna', '59-1-9-46.fna', '59-1-6-35.fna', '59-1-15-36.fna', '34-1-2-31.fna'}"
59-1-6-33.fna,101.010222402985,99.5,0.25,0,3411185,263579,83_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Casp-alpha2;g__;s__,,6,99.99,99.96,near,low,"{'59-1-3-44.fna', '32-1-2-36.fna', '59-1-9-29.fna', '34-1-2-30.fna', '59-1-6-33.fna', '59-1-15-39.fna'}"
59-1-6-42.fna,83.9897163484472,92.55,2.46,66.67,3326468,12844,81_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Casp-alpha2;g__Casp-alpha2;s__,,6,99.73,99.32,near,low,"{'59-1-9-15.fna', '59-1-6-42.fna', '34-1-2-47.fna', '32-1-2-45.fna', '59-1-15-24.fna', '59-1-3-15.fna'}"
59-1-15-40.fna,96.4211264558589,97.26,0.66,0,4304552,66519,78_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__UBA2165;g__;s__,,6,99.98,99.94,near,low,"{'59-1-3-13.fna', '34-1-2-13.fna', '32-1-2-11.fna', '59-1-6-40.fna', '59-1-9-41.fna', '59-1-15-40.fna'}"
31-1-8-12.fna,-13.1712981383998,76.53,18.12,0,2933484,4982,19_0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Thalassobaculales;f__Nisaeaceae;g__GCA-002701455;s__GCA-002701455 sp002701455,,1,,,substantial,very high,{'31-1-8-12.fna'}
59-1-3-25.fna,100.016326708798,99.35,0.43,0,2342712,341025,80_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA11136;f__UBA11136;g__UBA11136;s__,,6,100,99.99,near,low,"{'34-1-2-29.fna', '59-1-15-33.fna', '59-1-6-9.fna', '32-1-2-49.fna', '59-1-9-28.fna', '59-1-3-25.fna'}"
59-1-15-30.fna,80.3567229172861,86.28,1.61,0,3198892,14663,93_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA6615;f__UBA6615;g__GCA-2727315;s__,,3,99.38,99.34,substantial,low,"{'59-1-15-30.fna', '34-1-2-40.fna', '59-1-9-36.fna'}"
59-1-9-34.fna,84.7326272629674,91.57,1.83,0,2509783,33717,94_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__UBA868;s__,,6,99.88,99.84,near,low,"{'59-1-15-50.fna', '59-1-3-34.fna', '59-1-9-34.fna', '32-1-2-43.fna', '34-1-2-34.fna', '59-1-6-31.fna'}"
31-1-2-19.fna,79.5613960477445,91.77,2.74,16.67,2358117,9317,95_0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__UBA868;s__,,1,,,near,low,{'31-1-2-19.fna'}
32-1-2-22.fna,99.1587697501192,96.58,0,0,1627796,114566,8_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Thioglobus;s__Thioglobus sp001628405,,9,99.97,99.83,near,none,"{'59-1-15-18.fna', '59-1-20-24.fna', '34-1-2-23.fna', '32-1-2-22.fna', '31-1-8-20.fna', '59-1-6-13.fna', '59-1-3-18.fna', '34-1-16-24.fna', '59-1-9-23.fna'}"
38-1-2-12.fna,59.6270847465657,94.32,7.36,14.29,1543880,10249,9_0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Thioglobus;s__Thioglobus sp002698045,,1,,,near,medium,{'38-1-2-12.fna'}
59-1-3-32.fna,80.0926948579011,93.35,3.15,0,4503045,76887,53_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA6733;s__,,6,99.98,99.97,near,low,"{'59-1-15-41.fna', '34-1-2-35.fna', '59-1-9-33.fna', '59-1-6-50.fna', '59-1-3-32.fna', '32-1-2-37.fna'}"
23-1-16-28.fna,41.6803315965487,78.81,7.99,9.68,2992207,10789,88_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__,,2,98.04,98.04,substantial,medium,"{'29-1-6-16.fna', '23-1-16-28.fna'}"
65-1-2-10.fna,79.8716961298764,87.23,1.93,66.67,2987742,8127,10_0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Neptuniibacter;s__,,1,,,substantial,low,{'65-1-2-10.fna'}
23-1-16-9.fna,5.93661231315238,77.27,14.5,0,991759,17109,16_0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__D2472;g__MED-G82;s__MED-G82 sp902601475,,1,,,substantial,high,{'23-1-16-9.fna'}
59-1-9-40.fna,72.7017940585688,88.26,3.59,5,3706583,21477,92_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFB01;s__,,5,99.86,99.46,substantial,low,"{'59-1-3-40.fna', '59-1-9-40.fna', '34-1-2-43.fna', '32-1-2-34.fna', '59-1-6-39.fna'}"
38-1-2-9.fna,86.6047230419401,85.52,0,0,2219332,11734,99_0,d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__Arctic96AD-7;s__Arctic96AD-7 sp002082305,,1,,,substantial,none,{'38-1-2-9.fna'}
18-1-6-8.fna,89.058070343111,88.07,0.22,50,2874962,7991,5_1,d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__UBA1014;s__UBA1014 sp001469005,,28,98.08,97.06,substantial,low,"{'59-1-24-7.fna', '19-1-4-9.fna', '38-1-10-10.fna', '70-1-2-11.fna', '39-1-8-16.fna', '19-1-12-15.fna', '58-1-10-25.fna', '24-1-2-11.fna', '18-1-4-11.fna', '54-1-10-4.fna', '18-1-6-8.fna', '28-1-6-7.fna', '56-1-2-11.fna', '18-1-1-10.fna', '70-1-10-11.fna', '67-1-15-6.fna', '67-1-2-6.fna', '68-1-2-11.fna', '18-1-13-16.fna', '33-1-10-7.fna', '17-2-10-4.fna', '23-1-10-8.fna', '31-1-16-6.fna', '32-1-8-12.fna', '34-1-24-11.fna', '19-1-6-7.fna', '58-1-2-18.fna', '17-2-6-19.fna'}"
27-1-8-10.fna,78.8773853140506,87.44,2.09,40,1247964,10064,48_0,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__Kiritimatiellales;f__Pontiellaceae;g__;s__,,1,,,substantial,low,{'27-1-8-10.fna'}
38-1-10-13.fna,89.0243321200077,90.26,0.68,0,3784784,17729,3_1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__AAA164-E04;g__UBA7971;s__UBA7971 sp002686885,,2,99,99,near,low,"{'38-1-10-13.fna', '58-1-2-12.fna'}"
59-1-15-47.fna,86.8988742960518,94.84,2.03,0,5424295,21209,2_1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__;s__,,6,99.65,99.38,near,low,"{'59-1-6-19.fna', '32-1-2-32.fna', '59-1-9-10.fna', '34-1-2-50.fna', '59-1-3-33.fna', '59-1-15-47.fna'}"
65-1-2-16.fna,-9.41009743125476,82.76,22,72.34,4108542,6069,72_1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__,,2,97.35,97.35,substantial,very high,"{'56-1-2-9.fna', '65-1-2-16.fna'}"
33-1-2-9.fna,73.0355753717959,78.07,1.38,66.67,2785417,6181,73_0,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__,,1,,,substantial,low,{'33-1-2-9.fna'}
52-1-2-14.fna,80.9574201265594,81.73,0.68,100,2289374,6789,69_1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1100;g__UBA1100;s__,,10,98.51,97.54,substantial,low,"{'32-1-8-8.fna', '19-1-6-4.fna', '38-1-10-8.fna', '56-1-2-16.fna', '65-1-2-15.fna', '52-1-2-14.fna', '54-1-3-12.fna', '24-1-2-12.fna', '70-1-2-17.fna', '68-1-2-9.fna'}"
58-1-2-4.fna,94.0893136765061,94.64,0.68,100,3542406,17938,6_1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__EC70;s__EC70 sp002684575,,4,99.35,99.17,near,low,"{'58-1-2-4.fna', '70-1-2-4.fna', '56-1-2-5.fna', '65-1-2-4.fna'}"
